fold,feature,coefficient,direction,experiment,feature_set
1,avg_Auditory_sensorimotor,0.6503788480543616,positive,cross_domain_cv,joint_top_features
1,avg_Gustatory_sensorimotor,0.9617539985903073,positive,cross_domain_cv,joint_top_features
1,avg_Mouth_sensorimotor,-1.104125773591715,negative,cross_domain_cv,joint_top_features
1,avg_Olfactory_sensorimotor,0.28303432948122614,positive,cross_domain_cv,joint_top_features
1,avg_valence,0.8175662688198692,positive,cross_domain_cv,joint_top_features
1,avg_word_length,-0.85323135295503,negative,cross_domain_cv,joint_top_features
1,n_adjacent_repetitions,0.32456484267465524,positive,cross_domain_cv,joint_top_features
1,n_adv,0.4893837939435301,positive,cross_domain_cv,joint_top_features
1,n_aux,0.8239016010409348,positive,cross_domain_cv,joint_top_features
1,n_det,0.0726960021989438,positive,cross_domain_cv,joint_top_features
1,n_intj,0.23400924357530653,positive,cross_domain_cv,joint_top_features
1,n_low_concreteness,0.22844676442695636,positive,cross_domain_cv,joint_top_features
1,n_low_synsets,0.7164392906306458,positive,cross_domain_cv,joint_top_features
1,n_monosyllables,-0.6670168559198772,negative,cross_domain_cv,joint_top_features
1,n_noun,-0.5820169460283561,negative,cross_domain_cv,joint_top_features
1,particle_verb_ratio,0.16650320724684137,positive,cross_domain_cv,joint_top_features
1,sentiment_score,-0.5584658479390402,negative,cross_domain_cv,joint_top_features
2,avg_Auditory_sensorimotor,0.6274485337091364,positive,cross_domain_cv,joint_top_features
2,avg_Gustatory_sensorimotor,0.5749847035190153,positive,cross_domain_cv,joint_top_features
2,avg_Mouth_sensorimotor,-1.1131580524379445,negative,cross_domain_cv,joint_top_features
2,avg_Olfactory_sensorimotor,0.5946015243987512,positive,cross_domain_cv,joint_top_features
2,avg_valence,0.7972408201045748,positive,cross_domain_cv,joint_top_features
2,avg_word_length,-0.8464664268216381,negative,cross_domain_cv,joint_top_features
2,n_adjacent_repetitions,0.36665209611608085,positive,cross_domain_cv,joint_top_features
2,n_adv,0.3370957216213219,positive,cross_domain_cv,joint_top_features
2,n_aux,0.7156956178765508,positive,cross_domain_cv,joint_top_features
2,n_det,0.17445949852745185,positive,cross_domain_cv,joint_top_features
2,n_intj,0.27873539509520645,positive,cross_domain_cv,joint_top_features
2,n_low_concreteness,0.2805069126548688,positive,cross_domain_cv,joint_top_features
2,n_low_synsets,0.7672809596095013,positive,cross_domain_cv,joint_top_features
2,n_monosyllables,-0.6250325027707885,negative,cross_domain_cv,joint_top_features
2,n_noun,-0.7705401127162943,negative,cross_domain_cv,joint_top_features
2,particle_verb_ratio,0.227316723475737,positive,cross_domain_cv,joint_top_features
2,sentiment_score,-0.4811340785597309,negative,cross_domain_cv,joint_top_features
3,avg_Auditory_sensorimotor,0.602075068004458,positive,cross_domain_cv,joint_top_features
