feature,coefficient,direction,experiment,feature_set
avg_Auditory_sensorimotor,0.48821462186365,positive,adress_to_ccc,joint_top_features
avg_Gustatory_sensorimotor,0.18729598327695746,positive,adress_to_ccc,joint_top_features
avg_Mouth_sensorimotor,-0.508750195258147,negative,adress_to_ccc,joint_top_features
avg_Olfactory_sensorimotor,0.4483449051907338,positive,adress_to_ccc,joint_top_features
avg_valence,0.3896853046261908,positive,adress_to_ccc,joint_top_features
avg_word_length,-1.1445684336512072,negative,adress_to_ccc,joint_top_features
n_adjacent_repetitions,1.0060864064089357,positive,adress_to_ccc,joint_top_features
n_adv,0.788883015593575,positive,adress_to_ccc,joint_top_features
n_aux,-0.571409576302458,negative,adress_to_ccc,joint_top_features
n_det,-0.31481521306037336,negative,adress_to_ccc,joint_top_features
n_intj,0.19050016226697458,positive,adress_to_ccc,joint_top_features
n_low_concreteness,0.21244855331604978,positive,adress_to_ccc,joint_top_features
n_low_synsets,0.48603849776117025,positive,adress_to_ccc,joint_top_features
n_monosyllables,0.4055078971814855,positive,adress_to_ccc,joint_top_features
n_noun,-0.13236506028638123,negative,adress_to_ccc,joint_top_features
particle_verb_ratio,-0.06626347200300847,negative,adress_to_ccc,joint_top_features
sentiment_score,-0.9204468083126875,negative,adress_to_ccc,joint_top_features
aux_verb_ratio,-0.2329263267991873,negative,adress_to_ccc,shared_features
avg_Auditory_sensorimotor,0.5917579241952771,positive,adress_to_ccc,shared_features
avg_Mouth_sensorimotor,-0.13887383986875868,negative,adress_to_ccc,shared_features
avg_valence,0.0460658563347675,positive,adress_to_ccc,shared_features
avg_word_length,-1.161294296240733,negative,adress_to_ccc,shared_features
n_VERB_Tense_Past,0.39666172449040116,positive,adress_to_ccc,shared_features
n_adjacent_repetitions,0.9381710933329916,positive,adress_to_ccc,shared_features
n_adv,0.7263706033735632,positive,adress_to_ccc,shared_features
n_aux,-0.6077878751841925,negative,adress_to_ccc,shared_features
n_low_synsets,0.3349229352133289,positive,adress_to_ccc,shared_features
aux_verb_ratio,-0.1995832126002201,negative,adress_to_ccc,shared_relaxed_features
avg_Auditory_sensorimotor,0.5486386041986736,positive,adress_to_ccc,shared_relaxed_features
avg_Head_sensorimotor,0.24852710941519404,positive,adress_to_ccc,shared_relaxed_features
avg_Mouth_sensorimotor,-0.19960447137005422,negative,adress_to_ccc,shared_relaxed_features
avg_valence,-0.01064308937304568,negative,adress_to_ccc,shared_relaxed_features
avg_word_length,-1.191644886728352,negative,adress_to_ccc,shared_relaxed_features
n_VERB_Tense_Past,0.4272189550039932,positive,adress_to_ccc,shared_relaxed_features
n_adjacent_repetitions,0.9335724216299846,positive,adress_to_ccc,shared_relaxed_features
n_adv,0.6678192881323628,positive,adress_to_ccc,shared_relaxed_features
n_aux,-0.6704209610120135,negative,adress_to_ccc,shared_relaxed_features
n_low_synsets,0.31565593609447956,positive,adress_to_ccc,shared_relaxed_features
avg_Auditory_sensorimotor,1.0692158343968154,positive,ccc_to_adress,joint_top_features
avg_Gustatory_sensorimotor,1.3227586013314006,positive,ccc_to_adress,joint_top_features
avg_Mouth_sensorimotor,-1.294250116311483,negative,ccc_to_adress,joint_top_features
avg_Olfactory_sensorimotor,0.5400869619752914,positive,ccc_to_adress,joint_top_features
avg_valence,0.7994451331429352,positive,ccc_to_adress,joint_top_features
avg_word_length,0.31551377457029905,positive,ccc_to_adress,joint_top_features
n_adjacent_repetitions,0.15190857037953492,positive,ccc_to_adress,joint_top_features
n_adv,0.5672091720982639,positive,ccc_to_adress,joint_top_features
n_aux,0.9973859254281529,positive,ccc_to_adress,joint_top_features
n_det,-0.3647022843123829,negative,ccc_to_adress,joint_top_features
n_intj,0.5706875778054328,positive,ccc_to_adress,joint_top_features
n_low_concreteness,-0.3184773304058391,negative,ccc_to_adress,joint_top_features
n_low_synsets,0.5585397721703521,positive,ccc_to_adress,joint_top_features
n_monosyllables,0.09381754336093312,positive,ccc_to_adress,joint_top_features
n_noun,-0.6119619428470022,negative,ccc_to_adress,joint_top_features
particle_verb_ratio,0.7172102191938258,positive,ccc_to_adress,joint_top_features
sentiment_score,-0.043406190797842165,negative,ccc_to_adress,joint_top_features
aux_verb_ratio,0.6361615513230859,positive,ccc_to_adress,shared_features
avg_Auditory_sensorimotor,0.2175419509731799,positive,ccc_to_adress,shared_features
avg_Mouth_sensorimotor,0.18594081954348932,positive,ccc_to_adress,shared_features
avg_valence,1.0948704738786987,positive,ccc_to_adress,shared_features
avg_word_length,-0.5709690980388289,negative,ccc_to_adress,shared_features
n_VERB_Tense_Past,0.33715245824375006,positive,ccc_to_adress,shared_features
n_adjacent_repetitions,0.2744263735558757,positive,ccc_to_adress,shared_features
n_adv,0.4385656328034756,positive,ccc_to_adress,shared_features
n_aux,1.0655703984613438,positive,ccc_to_adress,shared_features
n_low_synsets,0.7167885756701322,positive,ccc_to_adress,shared_features
aux_verb_ratio,0.641934329485888,positive,ccc_to_adress,shared_relaxed_features
avg_Auditory_sensorimotor,0.18417147366623202,positive,ccc_to_adress,shared_relaxed_features
avg_Head_sensorimotor,0.0721441328060158,positive,ccc_to_adress,shared_relaxed_features
avg_Mouth_sensorimotor,0.17909347402088294,positive,ccc_to_adress,shared_relaxed_features
avg_valence,1.0839335621694997,positive,ccc_to_adress,shared_relaxed_features
avg_word_length,-0.5841106665518178,negative,ccc_to_adress,shared_relaxed_features
n_VERB_Tense_Past,0.3403075269477252,positive,ccc_to_adress,shared_relaxed_features
n_adjacent_repetitions,0.28316481910842684,positive,ccc_to_adress,shared_relaxed_features
n_adv,0.43936141145115004,positive,ccc_to_adress,shared_relaxed_features
n_aux,1.047127476851297,positive,ccc_to_adress,shared_relaxed_features
n_low_synsets,0.7189218094957495,positive,ccc_to_adress,shared_relaxed_features
