experiment,feature_set,metric,value
adress_to_ccc,joint_top_features,accuracy,0.5896551724137931
adress_to_ccc,joint_top_features,precision,0.36585365853658536
adress_to_ccc,joint_top_features,recall,0.30927835051546393
adress_to_ccc,joint_top_features,f1,0.33519553072625696
adress_to_ccc,joint_top_features,auc,0.4710218471235511
adress_to_ccc,shared_features,accuracy,0.49310344827586206
adress_to_ccc,shared_features,precision,0.2727272727272727
adress_to_ccc,shared_features,recall,0.30927835051546393
adress_to_ccc,shared_features,f1,0.2898550724637681
adress_to_ccc,shared_features,auc,0.38288552961914424
adress_to_ccc,shared_relaxed_features,accuracy,0.496551724137931
adress_to_ccc,shared_relaxed_features,precision,0.27522935779816515
adress_to_ccc,shared_relaxed_features,recall,0.30927835051546393
adress_to_ccc,shared_relaxed_features,f1,0.2912621359223301
adress_to_ccc,shared_relaxed_features,auc,0.37156134821857806
ccc_to_adress,joint_top_features,accuracy,0.5192307692307693
ccc_to_adress,joint_top_features,precision,1.0
ccc_to_adress,joint_top_features,recall,0.038461538461538464
ccc_to_adress,joint_top_features,f1,0.07407407407407407
ccc_to_adress,joint_top_features,auc,0.7340565417488494
ccc_to_adress,shared_features,accuracy,0.5769230769230769
ccc_to_adress,shared_features,precision,0.875
ccc_to_adress,shared_features,recall,0.1794871794871795
ccc_to_adress,shared_features,f1,0.2978723404255319
ccc_to_adress,shared_features,auc,0.6259040105193951
ccc_to_adress,shared_relaxed_features,accuracy,0.5641025641025641
ccc_to_adress,shared_relaxed_features,precision,0.8571428571428571
ccc_to_adress,shared_relaxed_features,recall,0.15384615384615385
ccc_to_adress,shared_relaxed_features,f1,0.2608695652173913
ccc_to_adress,shared_relaxed_features,auc,0.6298487836949376
