feature,feature_type,ADReSS_direction,CCC_direction,ADReSS_folds,CCC_folds,ADReSS_avg_abs_coef,CCC_avg_abs_coef,in_joint_top,in_shared
aux_verb_ratio,shared,negative,positive,5.0,5.0,0.4072,0.3186,False,True
avg_Auditory_sensorimotor,shared,positive,positive,5.0,5.0,0.2224,0.934,True,True
avg_Head_sensorimotor,shared,positive,positive,3.0,5.0,0.1905,0.2246,False,False
avg_Mouth_sensorimotor,shared,negative,negative,5.0,5.0,0.5543,0.856,True,True
avg_valence,shared,positive,positive,4.0,5.0,0.1939,0.9906,True,True
avg_word_length,shared,negative,positive,5.0,4.0,0.744,0.4769,True,True
n_VERB_Tense_Past,shared,positive,positive,4.0,5.0,0.3987,0.4275,False,True
n_adjacent_repetitions,shared,positive,positive,5.0,4.0,0.9327,0.2877,True,True
n_adv,shared,positive,positive,5.0,5.0,0.5497,0.6346,True,True
n_aux,shared,negative,positive,5.0,5.0,0.5405,0.8338,True,True
n_low_synsets,shared,positive,positive,5.0,5.0,0.4769,0.3241,True,True
avg_Hand_arm_sensorimotor,ADReSS-only,negative,,5.0,,0.1251,,False,False
avg_Interoceptive_sensorimotor,ADReSS-only,positive,,3.0,,0.2706,,False,False
avg_Olfactory_sensorimotor,ADReSS-only,positive,,5.0,,0.4672,,True,False
avg_aoa,ADReSS-only,negative,,3.0,,0.1442,,False,False
det_noun_ratio,ADReSS-only,negative,,5.0,,0.2453,,False,False
n_lemmas,ADReSS-only,negative,,4.0,,0.5647,,False,False
n_low_concreteness,ADReSS-only,positive,,5.0,,0.5511,,True,False
n_monosyllables,ADReSS-only,positive,,5.0,,0.4503,,True,False
n_num,ADReSS-only,negative,,4.0,,0.3231,,False,False
n_polysyllables,ADReSS-only,negative,,4.0,,0.2364,,False,False
n_verb,ADReSS-only,negative,,4.0,,0.6226,,False,False
noun_verb_ratio,ADReSS-only,negative,,4.0,,0.7186,,False,False
sentiment_score,ADReSS-only,negative,,5.0,,0.8782,,True,False
tokens_per_sentence,ADReSS-only,negative,,5.0,,0.3902,,False,False
avg_Gustatory_sensorimotor,CCC-only,,positive,,5.0,,1.2346,True,False
avg_concreteness,CCC-only,,positive,,5.0,,0.3702,False,False
avg_dominance,CCC-only,,negative,,5.0,,0.4576,False,False
n_VERB_Tense_Pres,CCC-only,,negative,,3.0,,0.148,False,False
n_adj,CCC-only,,positive,,5.0,,0.3396,False,False
n_det,CCC-only,,negative,,5.0,,0.4774,True,False
n_intj,CCC-only,,positive,,5.0,,0.5366,True,False
n_noun,CCC-only,,negative,,5.0,,0.4982,True,False
particle_verb_ratio,CCC-only,,positive,,5.0,,0.6603,True,False
