fold,feature,coefficient,abs_coefficient,direction
1,avg_word_length,-0.6090251907681363,0.6090251907681363,negative
1,n_polysyllables,-0.26107902914146985,0.26107902914146985,negative
1,n_monosyllables,0.3917415775969615,0.3917415775969615,positive
1,n_lemmas,-0.4057505856098608,0.4057505856098608,negative
1,tokens_per_sentence,-0.4114268744095972,0.4114268744095972,negative
1,avg_concreteness,0.10864798640713937,0.10864798640713937,positive
1,n_low_concreteness,0.6513238839192882,0.6513238839192882,positive
1,n_low_synsets,0.8696433031917863,0.8696433031917863,positive
1,avg_Auditory_sensorimotor,0.24835189941188968,0.24835189941188968,positive
1,avg_Olfactory_sensorimotor,0.3064397292944481,0.3064397292944481,positive
1,avg_Hand_arm_sensorimotor,-0.179112997750313,0.179112997750313,negative
1,avg_Mouth_sensorimotor,-0.7103500766173928,0.7103500766173928,negative
1,avg_valence,0.3013302342887112,0.3013302342887112,positive
1,avg_dominance,0.525246382645943,0.525246382645943,positive
1,sentiment_score,-0.9340121599343864,0.9340121599343864,negative
1,n_verb,-0.9989755435841869,0.9989755435841869,negative
1,n_adv,0.31996302144282995,0.31996302144282995,positive
1,n_pron,0.3547170754492678,0.3547170754492678,positive
1,n_part,0.23791712636055606,0.23791712636055606,positive
1,n_aux,-0.31185000310397676,0.31185000310397676,negative
1,n_num,-0.5347779264430293,0.5347779264430293,negative
1,n_VERB_Tense_Past,0.38903350068821013,0.38903350068821013,positive
1,n_adjacent_repetitions,1.265008142613961,1.265008142613961,positive
1,noun_verb_ratio,-1.0773450237266597,1.0773450237266597,negative
1,det_noun_ratio,-0.3528775228384844,0.3528775228384844,negative
1,aux_verb_ratio,-0.38621874926933664,0.38621874926933664,negative
2,avg_word_length,-0.6232164940067739,0.6232164940067739,negative
2,n_polysyllables,-0.08107640444388745,0.08107640444388745,negative
2,n_monosyllables,0.45650447032677705,0.45650447032677705,positive
2,n_lemmas,-0.5330747254762134,0.5330747254762134,negative
2,tokens_per_sentence,-0.38679507749034314,0.38679507749034314,negative
2,avg_aoa,-0.12657433398939222,0.12657433398939222,negative
2,n_low_concreteness,0.604523159049042,0.604523159049042,positive
2,n_low_synsets,0.5501346303949083,0.5501346303949083,positive
2,avg_Auditory_sensorimotor,0.17296498989782544,0.17296498989782544,positive
2,avg_Interoceptive_sensorimotor,0.4274451244131059,0.4274451244131059,positive
2,avg_Olfactory_sensorimotor,0.45481957393437633,0.45481957393437633,positive
2,avg_Hand_arm_sensorimotor,-0.1530609786093681,0.1530609786093681,negative
2,avg_Head_sensorimotor,0.0006439784475493086,0.0006439784475493086,positive
2,avg_Mouth_sensorimotor,-0.4651160216717696,0.4651160216717696,negative
2,avg_valence,0.13189429332965288,0.13189429332965288,positive
2,avg_dominance,0.09405417895600371,0.09405417895600371,positive
2,sentiment_score,-0.687580860279628,0.687580860279628,negative
2,n_verb,-0.5889883290973548,0.5889883290973548,negative
2,n_adv,0.28841668210702187,0.28841668210702187,positive
2,n_intj,0.10694112639165429,0.10694112639165429,positive
2,n_adj,0.19356713026016306,0.19356713026016306,positive
2,n_part,-0.040088146249239655,0.040088146249239655,negative
2,n_aux,-0.4542557634226894,0.4542557634226894,negative
2,n_num,-0.24204835858651713,0.24204835858651713,negative
2,n_VERB_Tense_Past,0.2531030378759509,0.2531030378759509,positive
2,n_adjacent_repetitions,0.9534918855633029,0.9534918855633029,positive
2,noun_verb_ratio,-0.587979802598456,0.587979802598456,negative
2,det_noun_ratio,-0.029114351695873238,0.029114351695873238,negative
2,aux_verb_ratio,-0.35614100752736755,0.35614100752736755,negative
3,avg_word_length,-0.5842876469486774,0.5842876469486774,negative
3,n_polysyllables,-0.5907676390644648,0.5907676390644648,negative
3,n_monosyllables,0.5774100239194725,0.5774100239194725,positive
3,n_lemmas,-0.7995055658995446,0.7995055658995446,negative
3,tokens_per_sentence,-0.3583771750535089,0.3583771750535089,negative
3,n_low_concreteness,0.38490069450043196,0.38490069450043196,positive
3,n_low_synsets,0.5120528031818481,0.5120528031818481,positive
3,avg_Auditory_sensorimotor,0.36700957228592146,0.36700957228592146,positive
