feature_1,feature_2,pearson_correlation,abs_correlation
n_lemmas,ttr,0.983,0.983
n_lemmas,n_low_aoa,0.9611,0.9611
ttr,n_low_aoa,0.9502,0.9502
n_intj,filler_to_noun_ratio,0.8941,0.8941
n_pron,pronoun_noun_ratio,0.8825,0.8825
avg_concreteness,avg_Haptic_sensorimotor,0.8734,0.8734
avg_concreteness,avg_Visual_sensorimotor,0.867,0.867
pronoun_noun_ratio,verb_noun_ratio,0.8498,0.8498
n_noun,verb_noun_ratio,-0.8373,0.8373
avg_Haptic_sensorimotor,avg_Visual_sensorimotor,0.8295,0.8295
n_noun,pronoun_noun_ratio,-0.8266,0.8266
n_noun,noun_verb_ratio,0.8261,0.8261
tokens_per_sentence,tree_depth,0.8089,0.8089
avg_Haptic_sensorimotor,avg_Hand_arm_sensorimotor,0.8069,0.8069
verb_noun_ratio,noun_verb_ratio,-0.7966,0.7966
n_noun,n_pron,-0.795,0.795
avg_Foot_leg_sensorimotor,avg_Torso_sensorimotor,0.765,0.765
avg_concreteness,n_noun,0.7617,0.7617
n_part,particle_verb_ratio,0.7399,0.7399
avg_Haptic_sensorimotor,n_noun,0.737,0.737
n_verb,n_VERB_Tense_Pres,0.7368,0.7368
n_pron,verb_noun_ratio,0.7355,0.7355
