feature_1,feature_2,pearson_correlation,abs_correlation
n_lemmas,ttr,0.9945,0.9945
n_lemmas,n_low_aoa,0.9793,0.9793
ttr,n_low_aoa,0.977,0.977
tokens_per_sentence,tree_depth,0.9373,0.9373
n_part,n_aux,0.9167,0.9167
pronoun_noun_ratio,verb_noun_ratio,0.9077,0.9077
n_intj,filler_to_noun_ratio,0.9018,0.9018
avg_Gustatory_sensorimotor,avg_Olfactory_sensorimotor,0.8925,0.8925
verb_noun_ratio,noun_verb_ratio,-0.8922,0.8922
n_low_concreteness,n_low_aoa,0.8809,0.8809
n_noun,pronoun_noun_ratio,-0.8686,0.8686
ttr,n_low_concreteness,0.8663,0.8663
n_lemmas,n_low_concreteness,0.8636,0.8636
n_noun,verb_noun_ratio,-0.853,0.853
avg_word_length,n_monosyllables,-0.8491,0.8491
n_noun,noun_verb_ratio,0.8475,0.8475
avg_concreteness,avg_Visual_sensorimotor,0.8141,0.8141
n_polysyllables,n_monosyllables,-0.8057,0.8057
avg_Foot_leg_sensorimotor,avg_Torso_sensorimotor,0.8034,0.8034
avg_Haptic_sensorimotor,avg_Hand_arm_sensorimotor,0.8,0.8
pronoun_noun_ratio,noun_verb_ratio,-0.7909,0.7909
avg_word_length,n_polysyllables,0.7743,0.7743
n_polysyllables,avg_aoa,0.7378,0.7378
n_pron,pronoun_noun_ratio,0.7291,0.7291
ttr,n_part,-0.7103,0.7103
n_lemmas,n_part,-0.7081,0.7081
avg_concreteness,avg_Haptic_sensorimotor,0.7077,0.7077
n_low_aoa,n_part,-0.7029,0.7029
n_monosyllables,avg_aoa,-0.702,0.702
avg_Haptic_sensorimotor,avg_Visual_sensorimotor,0.7018,0.7018
