,avg_word_length,n_polysyllables,n_monosyllables,n_lemmas,ttr,tokens_per_sentence,avg_aoa,avg_concreteness,n_low_concreteness,n_low_synsets,n_low_aoa,avg_Auditory_sensorimotor,avg_Gustatory_sensorimotor,avg_Haptic_sensorimotor,avg_Interoceptive_sensorimotor,avg_Olfactory_sensorimotor,avg_Visual_sensorimotor,avg_Foot_leg_sensorimotor,avg_Hand_arm_sensorimotor,avg_Head_sensorimotor,avg_Mouth_sensorimotor,avg_Torso_sensorimotor,avg_valence,avg_dominance,sentiment_score,tree_depth,n_noun,n_verb,n_adv,n_pron,n_intj,n_det,n_adj,n_part,n_aux,n_num,n_VERB_Tense_Past,n_VERB_Tense_Pres,n_adjacent_repetitions,pronoun_noun_ratio,verb_noun_ratio,filler_to_noun_ratio,noun_verb_ratio,det_noun_ratio,aux_verb_ratio,particle_verb_ratio
avg_word_length,1.0,0.7742857337518988,-0.8490691749003384,0.27570573406255217,0.28895120157087584,0.49266770529712844,0.6772803264054443,-0.1335595155095604,0.1348342854854465,0.5336000459651506,0.22268187790592703,-0.11471478744372453,-0.1354441935690694,-0.23202798814672596,-0.1410381576775953,-0.23426216967595795,-0.04732568387145184,-0.11487136873731651,-0.1361527041764357,0.015417341308823733,-0.12323115395883831,-0.1439455807972592,-0.10919345920861394,0.38044336755427716,0.15622858020370411,0.476318131960013,0.5463632142544875,-0.22559308584815743,-0.011007285336204216,-0.3436204217292734,-0.33813610399277677,0.3657649536866789,0.32952044881590353,-0.21505683261500208,-0.13304076219083924,0.0964871721851864,0.0240432607694663,-0.07757690530729587,-0.2346492336438994,-0.5077216764036829,-0.48865496278273046,-0.40016616782808767,0.49672006392510737,-0.10492958338934359,0.0790024888848249,-0.1518884001257854
n_polysyllables,0.7742857337518988,1.0,-0.8057265524708073,0.20697960160900122,0.21449251207278755,0.36771749665995945,0.7377805528950363,-0.20262461824055097,0.10236766908767495,0.4217548100953227,0.15037161667499563,-0.09814465037435897,-0.19439356403752087,-0.27159876072955064,-0.007940091267996484,-0.30334727547053214,-0.12943567112617885,-0.07223683496926767,-0.16888402345202083,0.012991554688382267,-0.14281889215183657,-0.08470407340406247,-0.10788591750842023,0.4281947624486587,0.08713256290828873,0.3865673830633168,0.43421178762373697,-0.21110190241619106,0.011626956314614403,-0.3044588092015757,-0.2584036256444543,0.3524833945357868,0.30081464484510995,-0.150488017636763,-0.09452656095490425,0.09641120602396012,-0.057906583242254527,0.037563796618296584,-0.21529732847299946,-0.39903149215650036,-0.39456165178701896,-0.2953525269236307,0.3978024757129578,-0.03887548978189525,0.06329610439667668,-0.09834660981373523
n_monosyllables,-0.8490691749003384,-0.8057265524708073,1.0,-0.2601418646043857,-0.26925801128021726,-0.5013815980671368,-0.7020041665147476,0.15138177556907692,-0.13559401282319333,-0.431989459977187,-0.2082385138183018,0.10356311571049437,0.19482758484958806,0.2733278738769682,0.043475472104159446,0.29398695142762804,0.08808938293354956,0.041090525491063484,0.14038092494717874,-0.003187088959192443,0.15318733509720397,0.05096568620572135,0.13720291178362023,-0.3726140388947232,-0.11580031041172512,-0.4965485212077816,-0.5269064077474173,0.1554303850192035,0.020356522318630162,0.3058692149873938,0.39015446024200884,-0.38961351861359983,-0.25141181840017934,0.19041553647672227,0.14656643106384562,-0.16118911535372502,0.03338608152477586,-0.04945286177505718,0.22386910080908548,0.48225628090780837,0.45372802386955186,0.44219509676979,-0.4501837804034455,0.07802417545162305,-0.012706712403862353,0.09929699786291175
n_lemmas,0.27570573406255217,0.20697960160900122,-0.2601418646043857,1.0,0.9944583249430095,0.11777749515158534,-0.10998235215749157,-0.4359895207874621,0.8635819475747133,0.2588005981407691,0.9793202412051931,0.0872874987518944,-0.12842619599794228,-0.37421794814095105,0.03850456067277195,-0.1578319268206562,-0.5011511899029314,-0.07346714998000352,-0.31485521722556986,-0.17536108826788377,0.0527018793130222,-0.16840226110886158,0.06727440701065386,0.10615230248295958,0.20148196219382142,0.12577305690535343,0.1914517112278289,-0.13248762542790485,0.03136048612308533,-0.3255212233472115,0.050574481738548296,0.12542033138299782,0.21091231824613013,-0.7080780410884409,-0.6894737868090828,0.27739666199031815,-0.25824267406457063,0.1880255209081103,0.04685456443025682,-0.23092786041417798,-0.16535834573575506,0.030173417273214174,0.1921741257746159,-0.04134490002514459,-0.06242099702272287,-0.09907102490638749
ttr,0.28895120157087584,0.21449251207278755,-0.26925801128021726,0.9944583249430095,1.0,0.14288053712156304,-0.0933261454397165,-0.4545210097097361,0.8662733197989293,0.2552218737495816,0.976985192981485,0.09093214178173284,-0.14565001761980148,-0.38816137925440963,0.04045250697772193,-0.17950589410000964,-0.5179040671434019,-0.08025993338512974,-0.3289254525756914,-0.17696785699907297,0.04147609462241288,-0.1753944690835088,0.05170097579472036,0.11866833886022043,0.18983516872381304,0.15383022953652417,0.17757824086259835,-0.10599555417209816,0.03079698404782986,-0.3002616492332382,0.02280487915629407,0.13075928511888885,0.1999733801944154,-0.7103018314815028,-0.6897443323489928,0.27228041019461685,-0.22421559970336227,0.17246980679825602,0.030000187864815626,-0.21389024825131092,-0.14501046890818647,0.013276589988279942,0.16725856136793826,-0.023938957148503845,-0.04081901125224286,-0.09509373305836398
tokens_per_sentence,0.49266770529712844,0.36771749665995945,-0.5013815980671368,0.11777749515158534,0.14288053712156304,1.0,0.4536186133153247,-0.08594093110057757,0.08446150045983092,0.11359189944771952,0.1281804324719784,-0.08190740666141955,-0.2609294760331979,-0.2074325623556304,-0.14005373930059528,-0.3405416948221838,-0.07056735358022147,-0.04994370790760478,-0.12095220446759415,-0.04677788898261031,-0.21199292651127558,-0.12562930325284835,-0.2675338981856027,0.19939290754866698,-0.0812536918275339,0.9373332946306862,0.3242685921415489,0.11626554895419397,0.03106696478283545,-0.013959850690189016,-0.6041918854454073,0.3867734888281721,-0.028635420813346607,-0.03824455700665469,-0.02229890806449295,0.13841402313324672,0.11994225456296843,-0.0699349972607798,-0.2542350203468255,-0.22608428396156366,-0.17433676986924743,-0.5298943329321203,0.17259946583284794,0.13508650411031672,0.09261482688164505,-0.013120503472503276
avg_aoa,0.6772803264054443,0.7377805528950363,-0.7020041665147476,-0.10998235215749157,-0.0933261454397165,0.4536186133153247,1.0,-0.060036877457047604,-0.15491752142115178,0.321071647770867,-0.15139890420167687,-0.19905962909860514,-0.26571734250385715,-0.25932313803819035,-0.054223225877098456,-0.39830182617136356,0.018767239168811855,-0.08236066762792396,-0.10359457874633428,0.08263715945267328,-0.25240220330253116,-0.07097212783410958,-0.2679606600878788,0.4376513616355091,-0.005155412128002001,0.45827306369083093,0.3784484286158031,-0.16441888821867648,-0.03643762781392949,-0.17758992938553272,-0.38021987379032696,0.39358796792241113,0.19837313739013815,0.15144516418338935,0.20406573678604675,0.020639533928947375,0.10070127057421357,-0.1008252171620309,-0.30173608339197966,-0.3287569843094448,-0.3517545006818927,-0.391890269289207,0.33772618005047206,0.06296842747423068,0.16441132718885793,0.015249143136398623
avg_concreteness,-0.1335595155095604,-0.20262461824055097,0.15138177556907692,-0.4359895207874621,-0.4545210097097361,-0.08594093110057757,-0.060036877457047604,1.0,-0.6349490618233868,-0.13030761144027797,-0.4465268194006875,-0.34765391158459874,0.3472095917173849,0.7076751566384714,-0.3968556251758666,0.4172973445052045,0.8141281675243405,0.21951680285273137,0.6059864150298911,-0.1290641087555033,-0.003865377655840763,0.2553608584141379,-0.09995801965264972,-0.41200743613546464,-0.1400498729569287,-0.1076011333071202,0.3405999195917982,0.02197329431166946,-0.1842116614939105,-0.03641948413028543,-0.07842007587542973,0.11315994213190955,-0.17434676950047895,0.36087269514658515,0.3782894000237973,0.06876225055005236,0.23680942246980166,-0.1338970285875243,-0.0650148511357396,-0.25848765807061413,-0.26238991012789487,-0.18009784799384185,0.23306731065194836,-0.1648422496000061,-0.18437237212437407,-0.239176025759813
n_low_concreteness,0.1348342854854465,0.10236766908767495,-0.13559401282319333,0.8635819475747133,0.8662733197989293,0.08446150045983092,-0.15491752142115178,-0.6349490618233868,1.0,0.15325785609517678,0.8809196091792417,0.10926485536601402,-0.14489115469369337,-0.475145273707897,0.11947571673597307,-0.19812951188280398,-0.6696695888675888,-0.14090361260629433,-0.40771795574723924,-0.16907045075189628,0.0532848972925114,-0.21529722806346036,0.07140619834584651,0.12094474433142571,0.16203490108918703,0.10608625880227196,-0.01934781334460237,-0.06411172960898025,0.13809061823985738,-0.18198821696463754,0.0735897634887887,0.010786755462393386,0.09179368200138409,-0.6035122655715061,-0.595351330999512,0.20989814332448709,-0.24142763719324878,0.17589543177151462,0.07114389470234181,-0.0454854205133026,0.0074275236455769635,0.08612293263210252,0.011943714977179795,0.025770262798863977,0.009352896794119235,-0.017762799476999363
n_low_synsets,0.5336000459651506,0.4217548100953227,-0.431989459977187,0.2588005981407691,0.2552218737495816,0.11359189944771952,0.321071647770867,-0.13030761144027797,0.15325785609517678,1.0,0.1974381986856648,-0.013108128438948218,0.05827060482405506,-0.11023939181372598,-0.10382414705560247,0.031142572503077386,0.005416126700572304,-0.1461220123754594,-0.1477985105946612,0.07845055812073755,-0.039629476871362423,-0.19110468483916168,0.20112482911964838,0.18675978334557367,0.2789837700491804,0.1342496675782337,0.3405711899692113,-0.29168955045105494,0.061327887791909244,-0.3285792837726192,0.009329920825372534,0.0949323763710722,0.6222076198930122,-0.14153770312948277,-0.0593639493583422,0.029688564257251682,-0.15824776790935596,0.08280243454087784,-0.023552019394443367,-0.3356953032846636,-0.3512291239779305,-0.06593773392439281,0.3903367298373479,-0.21677828596085905,0.14065960881173134,-0.08292405077881125
